image_path,product_id,output_path
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH029_generated.png,JH029,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH029_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH030_generated.png,JH030,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH030_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH477_generated.png,JH477,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH477_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH478_generated.png,JH478,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH478_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH480_generated.png,JH480,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH480_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH022_generated.png,JH022,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH022_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH023_generated.png,JH023,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH023_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH024_generated.png,JH024,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH024_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH479_generated.png,JH479,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH479_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH476_generated.png,JH476,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH476_white_bg_watermarked.png
