image_path,product_id,output_path
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH602_generated.png,JH602,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH602_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH603_generated.png,JH603,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH603_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH614_generated.png,JH614,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH614_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH617_generated.png,JH617,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH617_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH628_generated.png,JH628,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH628_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH526_generated.png,JH526,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH526_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH604_generated.png,JH604,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH604_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH627_generated.png,JH627,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH627_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH629_generated.png,JH629,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH629_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\generated\JH630_generated.png,JH630,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-heic-rerun-20260612-135152\white-bg\JH630_white_bg_watermarked.png
