image_path,product_id,output_path
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH647_generated.png,JH647,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH647_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH650_generated.png,JH650,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH650_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH920_generated.png,JH920,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH920_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH921_generated.png,JH921,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH921_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH922_generated.png,JH922,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH922_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH923_generated.png,JH923,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH923_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH924_generated.png,JH924,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH924_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH925_generated.png,JH925,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH925_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH926_generated.png,JH926,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH926_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH927_generated.png,JH927,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH927_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH639_generated.png,JH639,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH639_white_bg_watermarked.png
C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH640_generated.png,JH640,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH640_white_bg_watermarked.png
